circuit_type,preservation_level,mitigated,query_name,shots,row_index,column_index,win_probability,fidelity,trace_distance,success_probability,failure_probability,raw_scale_factor_dists
contextuality-preserving,low,True,R1C1,8192,1,1,0.95147705078125,0.9495438684388807,0.062423706054687056,0.95147705078125,0.04852294921875004,"{""1"": {""0000"": 0.110595703125, ""0001"": 0.1171875, ""0010"": 0.0098876953125, ""0011"": 0.0135498046875, ""0100"": 0.114990234375, ""0101"": 0.1055908203125, ""0110"": 0.0118408203125, ""0111"": 0.010009765625, ""1000"": 0.010009765625, ""1001"": 0.010986328125, ""1010"": 0.1126708984375, ""1011"": 0.122314453125, ""1100"": 0.01171875, ""1101"": 0.0111083984375, ""1110"": 0.1104736328125, ""1111"": 0.1170654296875}, ""3"": {""0000"": 0.1134033203125, ""0001"": 0.1038818359375, ""0010"": 0.0191650390625, ""0011"": 0.01953125, ""0100"": 0.1085205078125, ""0101"": 0.109375, ""0110"": 0.0179443359375, ""0111"": 0.0185546875, ""1000"": 0.0184326171875, ""1001"": 0.019287109375, ""1010"": 0.1011962890625, ""1011"": 0.1044921875, ""1100"": 0.0177001953125, ""1101"": 0.01806640625, ""1110"": 0.1024169921875, ""1111"": 0.1080322265625}, ""5"": {""0000"": 0.1007080078125, ""0001"": 0.1043701171875, ""0010"": 0.02294921875, ""0011"": 0.0205078125, ""0100"": 0.10302734375, ""0101"": 0.109619140625, ""0110"": 0.0247802734375, ""0111"": 0.020263671875, ""1000"": 0.021728515625, ""1001"": 0.0225830078125, ""1010"": 0.10205078125, ""1011"": 0.096435546875, ""1100"": 0.022705078125, ""1101"": 0.02392578125, ""1110"": 0.103271484375, ""1111"": 0.10107421875}}"
contextuality-preserving,low,True,R1C2,8192,1,2,0.8783264160156251,0.8764664168040173,0.12309265136718708,0.8783264160156251,0.12167358398437514,"{""1"": {""0000"": 0.10400390625, ""0001"": 0.028076171875, ""0010"": 0.0916748046875, ""0011"": 0.03271484375, ""0100"": 0.09375, ""0101"": 0.0267333984375, ""0110"": 0.0972900390625, ""0111"": 0.0257568359375, ""1000"": 0.0291748046875, ""1001"": 0.0933837890625, ""1010"": 0.0262451171875, ""1011"": 0.10546875, ""1100"": 0.0250244140625, ""1101"": 0.0980224609375, ""1110"": 0.027099609375, ""1111"": 0.0955810546875}, ""3"": {""0000"": 0.08203125, ""0001"": 0.044189453125, ""0010"": 0.0819091796875, ""0011"": 0.042724609375, ""0100"": 0.0855712890625, ""0101"": 0.0452880859375, ""0110"": 0.0802001953125, ""0111"": 0.049560546875, ""1000"": 0.0440673828125, ""1001"": 0.078369140625, ""1010"": 0.0458984375, ""1011"": 0.0792236328125, ""1100"": 0.0452880859375, ""1101"": 0.082763671875, ""1110"": 0.040771484375, ""1111"": 0.0721435546875}, ""5"": {""0000"": 0.078369140625, ""0001"": 0.05615234375, ""0010"": 0.071044921875, ""0011"": 0.0477294921875, ""0100"": 0.076904296875, ""0101"": 0.054931640625, ""0110"": 0.0738525390625, ""0111"": 0.05029296875, ""1000"": 0.0511474609375, ""1001"": 0.071044921875, ""1010"": 0.0489501953125, ""1011"": 0.0738525390625, ""1100"": 0.052490234375, ""1101"": 0.072998046875, ""1110"": 0.05126953125, ""1111"": 0.0689697265625}}"
contextuality-preserving,low,True,R1C3,8192,1,3,0.8912048339843748,0.8883744768097013,0.11445617675781206,0.8912048339843748,0.10879516601562515,"{""1"": {""0000"": 0.0206298828125, ""0001"": 0.0982666015625, ""0010"": 0.1070556640625, ""0011"": 0.0279541015625, ""0100"": 0.0252685546875, ""0101"": 0.099365234375, ""0110"": 0.091552734375, ""0111"": 0.0291748046875, ""1000"": 0.10205078125, ""1001"": 0.029052734375, ""1010"": 0.027587890625, ""1011"": 0.0977783203125, ""1100"": 0.089111328125, ""1101"": 0.02294921875, ""1110"": 0.02880859375, ""1111"": 0.1033935546875}, ""3"": {""0000"": 0.046875, ""0001"": 0.0819091796875, ""0010"": 0.08447265625, ""0011"": 0.0472412109375, ""0100"": 0.049560546875, ""0101"": 0.0867919921875, ""0110"": 0.0836181640625, ""0111"": 0.0426025390625, ""1000"": 0.083984375, ""1001"": 0.0443115234375, ""1010"": 0.040771484375, ""1011"": 0.0728759765625, ""1100"": 0.0797119140625, ""1101"": 0.03759765625, ""1110"": 0.0452880859375, ""1111"": 0.0723876953125}, ""5"": {""0000"": 0.0543212890625, ""0001"": 0.0697021484375, ""0010"": 0.0772705078125, ""0011"": 0.0540771484375, ""0100"": 0.0574951171875, ""0101"": 0.0791015625, ""0110"": 0.068603515625, ""0111"": 0.0452880859375, ""1000"": 0.0804443359375, ""1001"": 0.0531005859375, ""1010"": 0.04931640625, ""1011"": 0.0660400390625, ""1100"": 0.072265625, ""1101"": 0.0498046875, ""1110"": 0.0504150390625, ""1111"": 0.07275390625}}"
contextuality-preserving,low,True,R2C1,8192,2,1,0.9061950657695337,0.9056505148138158,0.0938049342304656,0.9061950657695337,0.09380493423046632,"{""1"": {""0000"": 0.0965576171875, ""0001"": 0.0985107421875, ""0010"": 0.0208740234375, ""0011"": 0.026611328125, ""0100"": 0.0330810546875, ""0101"": 0.02587890625, ""0110"": 0.1014404296875, ""0111"": 0.102294921875, ""1000"": 0.0975341796875, ""1001"": 0.0938720703125, ""1010"": 0.029541015625, ""1011"": 0.0262451171875, ""1100"": 0.0277099609375, ""1101"": 0.02734375, ""1110"": 0.0966796875, ""1111"": 0.0958251953125}, ""3"": {""0000"": 0.0850830078125, ""0001"": 0.07666015625, ""0010"": 0.051513671875, ""0011"": 0.0457763671875, ""0100"": 0.048095703125, ""0101"": 0.04833984375, ""0110"": 0.07666015625, ""0111"": 0.07861328125, ""1000"": 0.0792236328125, ""1001"": 0.0721435546875, ""1010"": 0.04638671875, ""1011"": 0.0457763671875, ""1100"": 0.0462646484375, ""1101"": 0.0484619140625, ""1110"": 0.0726318359375, ""1111"": 0.078369140625}, ""5"": {""0000"": 0.0791015625, ""0001"": 0.072021484375, ""0010"": 0.0489501953125, ""0011"": 0.05322265625, ""0100"": 0.0543212890625, ""0101"": 0.053955078125, ""0110"": 0.070556640625, ""0111"": 0.0733642578125, ""1000"": 0.0736083984375, ""1001"": 0.071533203125, ""1010"": 0.0513916015625, ""1011"": 0.04931640625, ""1100"": 0.05322265625, ""1101"": 0.0513916015625, ""1110"": 0.072998046875, ""1111"": 0.071044921875}}"
contextuality-preserving,low,True,R2C2,8192,2,2,0.8343505859374999,0.8330318349796411,0.16564941406249942,0.8343505859374999,0.16564941406250017,"{""1"": {""0000"": 0.09619140625, ""0001"": 0.0343017578125, ""0010"": 0.0936279296875, ""0011"": 0.0341796875, ""0100"": 0.033447265625, ""0101"": 0.088623046875, ""0110"": 0.0318603515625, ""0111"": 0.09228515625, ""1000"": 0.0919189453125, ""1001"": 0.0316162109375, ""1010"": 0.09765625, ""1011"": 0.029296875, ""1100"": 0.0318603515625, ""1101"": 0.100830078125, ""1110"": 0.026123046875, ""1111"": 0.086181640625}, ""3"": {""0000"": 0.0828857421875, ""0001"": 0.046875, ""0010"": 0.0772705078125, ""0011"": 0.048095703125, ""0100"": 0.05712890625, ""0101"": 0.080078125, ""0110"": 0.0447998046875, ""0111"": 0.0811767578125, ""1000"": 0.079833984375, ""1001"": 0.044921875, ""1010"": 0.0794677734375, ""1011"": 0.0439453125, ""1100"": 0.0450439453125, ""1101"": 0.073486328125, ""1110"": 0.044677734375, ""1111"": 0.0703125}, ""5"": {""0000"": 0.0748291015625, ""0001"": 0.05419921875, ""0010"": 0.0751953125, ""0011"": 0.0546875, ""0100"": 0.052490234375, ""0101"": 0.072021484375, ""0110"": 0.056884765625, ""0111"": 0.07177734375, ""1000"": 0.0709228515625, ""1001"": 0.0509033203125, ""1010"": 0.064208984375, ""1011"": 0.05029296875, ""1100"": 0.0584716796875, ""1101"": 0.06884765625, ""1110"": 0.052001953125, ""1111"": 0.072265625}}"
contextuality-preserving,low,True,R2C3,8192,2,3,0.8879241943359374,0.8860851222018129,0.11625671386718693,0.8879241943359374,0.11207580566406262,"{""1"": {""0000"": 0.02880859375, ""0001"": 0.0931396484375, ""0010"": 0.1038818359375, ""0011"": 0.0244140625, ""0100"": 0.1005859375, ""0101"": 0.027099609375, ""0110"": 0.0294189453125, ""0111"": 0.09912109375, ""1000"": 0.0283203125, ""1001"": 0.0950927734375, ""1010"": 0.093505859375, ""1011"": 0.0252685546875, ""1100"": 0.096435546875, ""1101"": 0.02734375, ""1110"": 0.0262451171875, ""1111"": 0.101318359375}, ""3"": {""0000"": 0.049072265625, ""0001"": 0.0843505859375, ""0010"": 0.0916748046875, ""0011"": 0.0482177734375, ""0100"": 0.0850830078125, ""0101"": 0.046875, ""0110"": 0.048828125, ""0111"": 0.075927734375, ""1000"": 0.0462646484375, ""1001"": 0.0712890625, ""1010"": 0.080078125, ""1011"": 0.0433349609375, ""1100"": 0.078857421875, ""1101"": 0.0362548828125, ""1110"": 0.043212890625, ""1111"": 0.0706787109375}, ""5"": {""0000"": 0.0509033203125, ""0001"": 0.0689697265625, ""0010"": 0.0758056640625, ""0011"": 0.0552978515625, ""0100"": 0.0733642578125, ""0101"": 0.0538330078125, ""0110"": 0.0546875, ""0111"": 0.0791015625, ""1000"": 0.0540771484375, ""1001"": 0.0701904296875, ""1010"": 0.0673828125, ""1011"": 0.0517578125, ""1100"": 0.070556640625, ""1101"": 0.04736328125, ""1110"": 0.05322265625, ""1111"": 0.073486328125}}"
contextuality-preserving,low,True,R3C1,8192,3,1,0.9030609130859373,0.9011557769348011,0.09710693359374947,0.9030609130859373,0.09693908691406262,"{""1"": {""0000"": 0.0928955078125, ""0001"": 0.1038818359375, ""0010"": 0.023681640625, ""0011"": 0.0240478515625, ""0100"": 0.0289306640625, ""0101"": 0.0233154296875, ""0110"": 0.09765625, ""0111"": 0.1051025390625, ""1000"": 0.02392578125, ""1001"": 0.0257568359375, ""1010"": 0.1024169921875, ""1011"": 0.103271484375, ""1100"": 0.1058349609375, ""1101"": 0.0965576171875, ""1110"": 0.021484375, ""1111"": 0.021240234375}, ""3"": {""0000"": 0.087646484375, ""0001"": 0.0836181640625, ""0010"": 0.0428466796875, ""0011"": 0.041748046875, ""0100"": 0.042236328125, ""0101"": 0.0457763671875, ""0110"": 0.088623046875, ""0111"": 0.0789794921875, ""1000"": 0.0445556640625, ""1001"": 0.039794921875, ""1010"": 0.0792236328125, ""1011"": 0.0814208984375, ""1100"": 0.0872802734375, ""1101"": 0.0791015625, ""1110"": 0.0382080078125, ""1111"": 0.0389404296875}, ""5"": {""0000"": 0.0728759765625, ""0001"": 0.071044921875, ""0010"": 0.05126953125, ""0011"": 0.0518798828125, ""0100"": 0.0513916015625, ""0101"": 0.0535888671875, ""0110"": 0.0804443359375, ""0111"": 0.071533203125, ""1000"": 0.0523681640625, ""1001"": 0.047119140625, ""1010"": 0.0703125, ""1011"": 0.070068359375, ""1100"": 0.0777587890625, ""1101"": 0.07568359375, ""1110"": 0.051025390625, ""1111"": 0.0516357421875}}"
contextuality-preserving,low,True,R3C2,8192,3,2,0.80706787109375,0.8063467549377259,0.19293212890624908,0.80706787109375,0.19293212890625,"{""1"": {""0000"": 0.099609375, ""0001"": 0.03759765625, ""0010"": 0.0924072265625, ""0011"": 0.0322265625, ""0100"": 0.0341796875, ""0101"": 0.0904541015625, ""0110"": 0.03173828125, ""0111"": 0.092529296875, ""1000"": 0.031982421875, ""1001"": 0.0924072265625, ""1010"": 0.0316162109375, ""1011"": 0.0916748046875, ""1100"": 0.091796875, ""1101"": 0.0328369140625, ""1110"": 0.0869140625, ""1111"": 0.030029296875}, ""3"": {""0000"": 0.0875244140625, ""0001"": 0.0469970703125, ""0010"": 0.077880859375, ""0011"": 0.0469970703125, ""0100"": 0.05029296875, ""0101"": 0.0806884765625, ""0110"": 0.0472412109375, ""0111"": 0.068603515625, ""1000"": 0.0517578125, ""1001"": 0.0782470703125, ""1010"": 0.0501708984375, ""1011"": 0.0709228515625, ""1100"": 0.08203125, ""1101"": 0.044677734375, ""1110"": 0.07568359375, ""1111"": 0.040283203125}, ""5"": {""0000"": 0.0697021484375, ""0001"": 0.0599365234375, ""0010"": 0.0643310546875, ""0011"": 0.06103515625, ""0100"": 0.056884765625, ""0101"": 0.0665283203125, ""0110"": 0.05810546875, ""0111"": 0.066650390625, ""1000"": 0.0576171875, ""1001"": 0.0673828125, ""1010"": 0.05810546875, ""1011"": 0.0611572265625, ""1100"": 0.070068359375, ""1101"": 0.05810546875, ""1110"": 0.0693359375, ""1111"": 0.0550537109375}}"
contextuality-preserving,low,True,R3C3,8192,3,3,0.85552978515625,0.8547493400545941,0.14447021484374914,0.85552978515625,0.14447021484375003,"{""1"": {""0000"": 0.02880859375, ""0001"": 0.104736328125, ""0010"": 0.1025390625, ""0011"": 0.02685546875, ""0100"": 0.0986328125, ""0101"": 0.031494140625, ""0110"": 0.0264892578125, ""0111"": 0.0936279296875, ""1000"": 0.093994140625, ""1001"": 0.024169921875, ""1010"": 0.0235595703125, ""1011"": 0.1043701171875, ""1100"": 0.0289306640625, ""1101"": 0.0927734375, ""1110"": 0.0941162109375, ""1111"": 0.02490234375}, ""3"": {""0000"": 0.0419921875, ""0001"": 0.095703125, ""0010"": 0.0865478515625, ""0011"": 0.0384521484375, ""0100"": 0.08984375, ""0101"": 0.0386962890625, ""0110"": 0.0435791015625, ""0111"": 0.08056640625, ""1000"": 0.0831298828125, ""1001"": 0.0406494140625, ""1010"": 0.039306640625, ""1011"": 0.08056640625, ""1100"": 0.0416259765625, ""1101"": 0.076171875, ""1110"": 0.083740234375, ""1111"": 0.0394287109375}, ""5"": {""0000"": 0.0517578125, ""0001"": 0.0811767578125, ""0010"": 0.0765380859375, ""0011"": 0.045654296875, ""0100"": 0.080322265625, ""0101"": 0.054443359375, ""0110"": 0.0484619140625, ""0111"": 0.075439453125, ""1000"": 0.076171875, ""1001"": 0.0467529296875, ""1010"": 0.0465087890625, ""1011"": 0.0703125, ""1100"": 0.0491943359375, ""1101"": 0.0736083984375, ""1110"": 0.078125, ""1111"": 0.0455322265625}}"
baseline,low,True,R1C1,8192,1,1,0.92791748046875,0.9270687359285498,0.07284545898437417,0.92791748046875,0.07208251953124999,"{""1"": {""0000"": 0.1107177734375, ""0001"": 0.1053466796875, ""0010"": 0.01318359375, ""0011"": 0.0130615234375, ""0100"": 0.1123046875, ""0101"": 0.10986328125, ""0110"": 0.0155029296875, ""0111"": 0.0135498046875, ""1000"": 0.01171875, ""1001"": 0.015380859375, ""1010"": 0.1124267578125, ""1011"": 0.11083984375, ""1100"": 0.012939453125, ""1101"": 0.011962890625, ""1110"": 0.1134033203125, ""1111"": 0.1177978515625}, ""3"": {""0000"": 0.103271484375, ""0001"": 0.1048583984375, ""0010"": 0.0177001953125, ""0011"": 0.0201416015625, ""0100"": 0.105224609375, ""0101"": 0.1068115234375, ""0110"": 0.02099609375, ""0111"": 0.0225830078125, ""1000"": 0.023193359375, ""1001"": 0.0218505859375, ""1010"": 0.0980224609375, ""1011"": 0.1055908203125, ""1100"": 0.0218505859375, ""1101"": 0.0191650390625, ""1110"": 0.102294921875, ""1111"": 0.1064453125}, ""5"": {""0000"": 0.098876953125, ""0001"": 0.0975341796875, ""0010"": 0.026123046875, ""0011"": 0.02880859375, ""0100"": 0.1060791015625, ""0101"": 0.098876953125, ""0110"": 0.027587890625, ""0111"": 0.02734375, ""1000"": 0.025634765625, ""1001"": 0.026123046875, ""1010"": 0.0926513671875, ""1011"": 0.0977783203125, ""1100"": 0.024658203125, ""1101"": 0.0277099609375, ""1110"": 0.093017578125, ""1111"": 0.1011962890625}}"
