circuit_type,mitigated,query_name,shots,row_index,column_index,win_probability,row_product_expectation,column_product_expectation,fidelity,trace_distance,success_probability,failure_probability,raw_scale_factor_dists
contextuality-low,True,R2C1,8192,2,1,0.9405330574740622,1.0000000000000002,-1.0000000000000002,0.939242951385744,0.06948078619892248,0.9405330574740622,0.05946694252593812,"{""1"": {""0000"": 0.0997314453125, ""0001"": 0.0955810546875, ""0010"": 0.0234375, ""0011"": 0.0247802734375, ""0100"": 0.0228271484375, ""0101"": 0.025634765625, ""0110"": 0.10302734375, ""0111"": 0.09619140625, ""1000"": 0.1060791015625, ""1001"": 0.102294921875, ""1010"": 0.02685546875, ""1011"": 0.02783203125, ""1100"": 0.0228271484375, ""1101"": 0.0208740234375, ""1110"": 0.095458984375, ""1111"": 0.1065673828125}, ""3"": {""0000"": 0.0831298828125, ""0001"": 0.07421875, ""0010"": 0.049560546875, ""0011"": 0.045166015625, ""0100"": 0.0477294921875, ""0101"": 0.04638671875, ""0110"": 0.0826416015625, ""0111"": 0.078125, ""1000"": 0.08056640625, ""1001"": 0.073974609375, ""1010"": 0.04931640625, ""1011"": 0.04443359375, ""1100"": 0.0491943359375, ""1101"": 0.0487060546875, ""1110"": 0.0751953125, ""1111"": 0.0716552734375}, ""5"": {""0000"": 0.0718994140625, ""0001"": 0.0692138671875, ""0010"": 0.0592041015625, ""0011"": 0.0543212890625, ""0100"": 0.06103515625, ""0101"": 0.057373046875, ""0110"": 0.0731201171875, ""0111"": 0.066650390625, ""1000"": 0.070068359375, ""1001"": 0.0665283203125, ""1010"": 0.0560302734375, ""1011"": 0.0504150390625, ""1100"": 0.0556640625, ""1101"": 0.0499267578125, ""1110"": 0.0714111328125, ""1111"": 0.067138671875}}"
contextuality-low,True,R2C2,8192,2,2,0.8719635009765625,1.0,-1.0,0.871848541879723,0.1280364990234369,0.8719635009765625,0.12803649902343756,"{""1"": {""0000"": 0.099609375, ""0001"": 0.0333251953125, ""0010"": 0.0994873046875, ""0011"": 0.0294189453125, ""0100"": 0.0303955078125, ""0101"": 0.0928955078125, ""0110"": 0.032958984375, ""0111"": 0.0947265625, ""1000"": 0.0916748046875, ""1001"": 0.0274658203125, ""1010"": 0.098388671875, ""1011"": 0.0245361328125, ""1100"": 0.027587890625, ""1101"": 0.0950927734375, ""1110"": 0.0294189453125, ""1111"": 0.093017578125}, ""3"": {""0000"": 0.087646484375, ""0001"": 0.0491943359375, ""0010"": 0.080322265625, ""0011"": 0.0443115234375, ""0100"": 0.0531005859375, ""0101"": 0.073486328125, ""0110"": 0.0491943359375, ""0111"": 0.07666015625, ""1000"": 0.0716552734375, ""1001"": 0.0469970703125, ""1010"": 0.0780029296875, ""1011"": 0.0443115234375, ""1100"": 0.0546875, ""1101"": 0.0726318359375, ""1110"": 0.04638671875, ""1111"": 0.0714111328125}, ""5"": {""0000"": 0.0767822265625, ""0001"": 0.0562744140625, ""0010"": 0.0712890625, ""0011"": 0.0579833984375, ""0100"": 0.0640869140625, ""0101"": 0.065185546875, ""0110"": 0.0595703125, ""0111"": 0.067138671875, ""1000"": 0.0709228515625, ""1001"": 0.0556640625, ""1010"": 0.0628662109375, ""1011"": 0.0518798828125, ""1100"": 0.0552978515625, ""1101"": 0.066650390625, ""1110"": 0.05908203125, ""1111"": 0.059326171875}}"
contextuality-low,True,R2C3,8192,2,3,0.8752899169921874,0.9999999999999999,-0.9999999999999999,0.874229523930273,0.12471008300781186,0.8752899169921874,0.12471008300781268,"{""1"": {""0000"": 0.02978515625, ""0001"": 0.1024169921875, ""0010"": 0.1033935546875, ""0011"": 0.0272216796875, ""0100"": 0.0980224609375, ""0101"": 0.02685546875, ""0110"": 0.0286865234375, ""0111"": 0.0963134765625, ""1000"": 0.02587890625, ""1001"": 0.0887451171875, ""1010"": 0.093994140625, ""1011"": 0.0302734375, ""1100"": 0.0958251953125, ""1101"": 0.0255126953125, ""1110"": 0.0294189453125, ""1111"": 0.09765625}, ""3"": {""0000"": 0.0506591796875, ""0001"": 0.07861328125, ""0010"": 0.0892333984375, ""0011"": 0.046142578125, ""0100"": 0.0809326171875, ""0101"": 0.0440673828125, ""0110"": 0.046875, ""0111"": 0.07763671875, ""1000"": 0.0450439453125, ""1001"": 0.0738525390625, ""1010"": 0.0843505859375, ""1011"": 0.0428466796875, ""1100"": 0.0782470703125, ""1101"": 0.0452880859375, ""1110"": 0.043701171875, ""1111"": 0.072509765625}, ""5"": {""0000"": 0.060302734375, ""0001"": 0.0694580078125, ""0010"": 0.0743408203125, ""0011"": 0.0538330078125, ""0100"": 0.0732421875, ""0101"": 0.0535888671875, ""0110"": 0.0584716796875, ""0111"": 0.075927734375, ""1000"": 0.0531005859375, ""1001"": 0.0694580078125, ""1010"": 0.0675048828125, ""1011"": 0.051025390625, ""1100"": 0.0716552734375, ""1101"": 0.0504150390625, ""1110"": 0.049072265625, ""1111"": 0.068603515625}}"
contextuality-low,True,R3C1,8192,3,1,0.9276129189667267,1.0,-1.0,0.9275075760235529,0.07238708103327256,0.9276129189667267,0.07238708103327351,"{""1"": {""0000"": 0.102783203125, ""0001"": 0.1002197265625, ""0010"": 0.02685546875, ""0011"": 0.0252685546875, ""0100"": 0.0252685546875, ""0101"": 0.0230712890625, ""0110"": 0.10546875, ""0111"": 0.09765625, ""1000"": 0.0225830078125, ""1001"": 0.0244140625, ""1010"": 0.1021728515625, ""1011"": 0.0994873046875, ""1100"": 0.1019287109375, ""1101"": 0.0970458984375, ""1110"": 0.0252685546875, ""1111"": 0.0205078125}, ""3"": {""0000"": 0.0831298828125, ""0001"": 0.07861328125, ""0010"": 0.0447998046875, ""0011"": 0.04052734375, ""0100"": 0.047607421875, ""0101"": 0.04736328125, ""0110"": 0.0906982421875, ""0111"": 0.0733642578125, ""1000"": 0.0501708984375, ""1001"": 0.0494384765625, ""1010"": 0.082763671875, ""1011"": 0.0770263671875, ""1100"": 0.0811767578125, ""1101"": 0.07666015625, ""1110"": 0.03955078125, ""1111"": 0.037109375}, ""5"": {""0000"": 0.076904296875, ""0001"": 0.076171875, ""0010"": 0.0506591796875, ""0011"": 0.0484619140625, ""0100"": 0.054443359375, ""0101"": 0.055908203125, ""0110"": 0.0797119140625, ""0111"": 0.076416015625, ""1000"": 0.0526123046875, ""1001"": 0.0518798828125, ""1010"": 0.068359375, ""1011"": 0.06787109375, ""1100"": 0.0718994140625, ""1101"": 0.06884765625, ""1110"": 0.0489501953125, ""1111"": 0.0509033203125}}"
contextuality-low,True,R3C2,8192,3,2,0.8776397705078123,1.0,-1.0,0.876906698336151,0.12236022949218685,0.8776397705078123,0.12236022949218775,"{""1"": {""0000"": 0.09912109375, ""0001"": 0.0338134765625, ""0010"": 0.093017578125, ""0011"": 0.03564453125, ""0100"": 0.032470703125, ""0101"": 0.096923828125, ""0110"": 0.028564453125, ""0111"": 0.09326171875, ""1000"": 0.026123046875, ""1001"": 0.0880126953125, ""1010"": 0.0341796875, ""1011"": 0.0892333984375, ""1100"": 0.096435546875, ""1101"": 0.02734375, ""1110"": 0.0946044921875, ""1111"": 0.03125}, ""3"": {""0000"": 0.08056640625, ""0001"": 0.05322265625, ""0010"": 0.0809326171875, ""0011"": 0.0543212890625, ""0100"": 0.057861328125, ""0101"": 0.07177734375, ""0110"": 0.0506591796875, ""0111"": 0.065673828125, ""1000"": 0.0496826171875, ""1001"": 0.0709228515625, ""1010"": 0.0506591796875, ""1011"": 0.0687255859375, ""1100"": 0.07958984375, ""1101"": 0.04638671875, ""1110"": 0.0709228515625, ""1111"": 0.048095703125}, ""5"": {""0000"": 0.0716552734375, ""0001"": 0.05517578125, ""0010"": 0.0758056640625, ""0011"": 0.0546875, ""0100"": 0.0628662109375, ""0101"": 0.0731201171875, ""0110"": 0.05908203125, ""0111"": 0.0653076171875, ""1000"": 0.0562744140625, ""1001"": 0.0660400390625, ""1010"": 0.056640625, ""1011"": 0.0662841796875, ""1100"": 0.0689697265625, ""1101"": 0.0513916015625, ""1110"": 0.0638427734375, ""1111"": 0.0528564453125}}"
contextuality-low,True,R3C3,8192,3,3,0.8702850341796875,1.0,-1.0,0.8693241906094862,0.1297149658203117,0.8702850341796875,0.12971496582031264,"{""1"": {""0000"": 0.02880859375, ""0001"": 0.101806640625, ""0010"": 0.0943603515625, ""0011"": 0.02880859375, ""0100"": 0.0975341796875, ""0101"": 0.025634765625, ""0110"": 0.0296630859375, ""0111"": 0.0985107421875, ""1000"": 0.10009765625, ""1001"": 0.031005859375, ""1010"": 0.0262451171875, ""1011"": 0.092041015625, ""1100"": 0.024169921875, ""1101"": 0.093505859375, ""1110"": 0.101806640625, ""1111"": 0.0260009765625}, ""3"": {""0000"": 0.048583984375, ""0001"": 0.08349609375, ""0010"": 0.0858154296875, ""0011"": 0.0418701171875, ""0100"": 0.0888671875, ""0101"": 0.044921875, ""0110"": 0.0413818359375, ""0111"": 0.0771484375, ""1000"": 0.0845947265625, ""1001"": 0.042236328125, ""1010"": 0.043212890625, ""1011"": 0.0748291015625, ""1100"": 0.042724609375, ""1101"": 0.0809326171875, ""1110"": 0.081787109375, ""1111"": 0.03759765625}, ""5"": {""0000"": 0.0528564453125, ""0001"": 0.0833740234375, ""0010"": 0.0797119140625, ""0011"": 0.0504150390625, ""0100"": 0.08349609375, ""0101"": 0.046875, ""0110"": 0.0546875, ""0111"": 0.074951171875, ""1000"": 0.0743408203125, ""1001"": 0.044921875, ""1010"": 0.046630859375, ""1011"": 0.0750732421875, ""1100"": 0.0450439453125, ""1101"": 0.0672607421875, ""1110"": 0.0758056640625, ""1111"": 0.0445556640625}}"
contextuality-medium,True,R1C1,8192,1,1,0.9576727650029754,1.0,-1.0,0.95459666104941,0.07016837816805745,0.9576727650029754,0.04232723499702463,"{""1"": {""0000"": 0.11083984375, ""0001"": 0.115966796875, ""0010"": 0.0098876953125, ""0011"": 0.01171875, ""0100"": 0.11669921875, ""0101"": 0.111083984375, ""0110"": 0.0111083984375, ""0111"": 0.0140380859375, ""1000"": 0.0098876953125, ""1001"": 0.009765625, ""1010"": 0.1119384765625, ""1011"": 0.12158203125, ""1100"": 0.0108642578125, ""1101"": 0.009521484375, ""1110"": 0.11669921875, ""1111"": 0.1083984375}, ""3"": {""0000"": 0.117431640625, ""0001"": 0.1021728515625, ""0010"": 0.021728515625, ""0011"": 0.020751953125, ""0100"": 0.1121826171875, ""0101"": 0.111328125, ""0110"": 0.018310546875, ""0111"": 0.0164794921875, ""1000"": 0.0184326171875, ""1001"": 0.0155029296875, ""1010"": 0.10498046875, ""1011"": 0.0970458984375, ""1100"": 0.0189208984375, ""1101"": 0.0169677734375, ""1110"": 0.1024169921875, ""1111"": 0.1053466796875}, ""5"": {""0000"": 0.104248046875, ""0001"": 0.1055908203125, ""0010"": 0.02294921875, ""0011"": 0.0216064453125, ""0100"": 0.1116943359375, ""0101"": 0.1048583984375, ""0110"": 0.0211181640625, ""0111"": 0.0233154296875, ""1000"": 0.0191650390625, ""1001"": 0.020263671875, ""1010"": 0.1077880859375, ""1011"": 0.1021728515625, ""1100"": 0.0196533203125, ""1101"": 0.0211181640625, ""1110"": 0.1007080078125, ""1111"": 0.09375}}"
contextuality-medium,True,R1C2,8192,1,2,0.889312744140625,1.0,-1.0,0.88725916296325,0.12205505371093718,0.889312744140625,0.11068725585937512,"{""1"": {""0000"": 0.100341796875, ""0001"": 0.02685546875, ""0010"": 0.10400390625, ""0011"": 0.0264892578125, ""0100"": 0.1015625, ""0101"": 0.026123046875, ""0110"": 0.09814453125, ""0111"": 0.025390625, ""1000"": 0.0255126953125, ""1001"": 0.093994140625, ""1010"": 0.0257568359375, ""1011"": 0.0921630859375, ""1100"": 0.0244140625, ""1101"": 0.0955810546875, ""1110"": 0.028076171875, ""1111"": 0.1055908203125}, ""3"": {""0000"": 0.085205078125, ""0001"": 0.041259765625, ""0010"": 0.08447265625, ""0011"": 0.0445556640625, ""0100"": 0.0882568359375, ""0101"": 0.046630859375, ""0110"": 0.0858154296875, ""0111"": 0.0419921875, ""1000"": 0.0447998046875, ""1001"": 0.0809326171875, ""1010"": 0.042236328125, ""1011"": 0.0740966796875, ""1100"": 0.0430908203125, ""1101"": 0.08447265625, ""1110"": 0.040771484375, ""1111"": 0.0714111328125}, ""5"": {""0000"": 0.07958984375, ""0001"": 0.050537109375, ""0010"": 0.078857421875, ""0011"": 0.048828125, ""0100"": 0.0784912109375, ""0101"": 0.0517578125, ""0110"": 0.0791015625, ""0111"": 0.0462646484375, ""1000"": 0.05078125, ""1001"": 0.07421875, ""1010"": 0.0528564453125, ""1011"": 0.0606689453125, ""1100"": 0.05029296875, ""1101"": 0.0721435546875, ""1110"": 0.0518798828125, ""1111"": 0.07373046875}}"
contextuality-medium,True,R1C3,8192,1,3,0.9406098785720807,1.0,-1.0,0.9395338833588542,0.06169542591070904,0.9406098785720807,0.05939012142791949,"{""1"": {""0000"": 0.0225830078125, ""0001"": 0.0936279296875, ""0010"": 0.108642578125, ""0011"": 0.02294921875, ""0100"": 0.0245361328125, ""0101"": 0.1060791015625, ""0110"": 0.1011962890625, ""0111"": 0.0211181640625, ""1000"": 0.100341796875, ""1001"": 0.022705078125, ""1010"": 0.0238037109375, ""1011"": 0.100341796875, ""1100"": 0.10498046875, ""1101"": 0.0234375, ""1110"": 0.0240478515625, ""1111"": 0.099609375}, ""3"": {""0000"": 0.0518798828125, ""0001"": 0.0792236328125, ""0010"": 0.0859375, ""0011"": 0.0411376953125, ""0100"": 0.052001953125, ""0101"": 0.0799560546875, ""0110"": 0.08203125, ""0111"": 0.0435791015625, ""1000"": 0.089111328125, ""1001"": 0.0394287109375, ""1010"": 0.041015625, ""1011"": 0.075439453125, ""1100"": 0.079345703125, ""1101"": 0.039794921875, ""1110"": 0.0447998046875, ""1111"": 0.0753173828125}, ""5"": {""0000"": 0.0526123046875, ""0001"": 0.078125, ""0010"": 0.080322265625, ""0011"": 0.0498046875, ""0100"": 0.05224609375, ""0101"": 0.07373046875, ""0110"": 0.0791015625, ""0111"": 0.04931640625, ""1000"": 0.0762939453125, ""1001"": 0.0517578125, ""1010"": 0.0474853515625, ""1011"": 0.068603515625, ""1100"": 0.071533203125, ""1101"": 0.050537109375, ""1110"": 0.050537109375, ""1111"": 0.0679931640625}}"
contextuality-medium,True,R2C1,8192,2,1,0.9353790283203123,1.0,-1.0,0.9346969595069532,0.06723022460937475,0.9353790283203123,0.06462097167968772,"{""1"": {""0000"": 0.1043701171875, ""0001"": 0.1082763671875, ""0010"": 0.0252685546875, ""0011"": 0.026611328125, ""0100"": 0.0235595703125, ""0101"": 0.02197265625, ""0110"": 0.10595703125, ""0111"": 0.0994873046875, ""1000"": 0.102783203125, ""1001"": 0.1009521484375, ""1010"": 0.023193359375, ""1011"": 0.0224609375, ""1100"": 0.019775390625, ""1101"": 0.0230712890625, ""1110"": 0.09814453125, ""1111"": 0.0941162109375}, ""3"": {""0000"": 0.0855712890625, ""0001"": 0.0836181640625, ""0010"": 0.04638671875, ""0011"": 0.04541015625, ""0100"": 0.0472412109375, ""0101"": 0.04248046875, ""0110"": 0.087890625, ""0111"": 0.0758056640625, ""1000"": 0.087158203125, ""1001"": 0.0758056640625, ""1010"": 0.0400390625, ""1011"": 0.04150390625, ""1100"": 0.043212890625, ""1101"": 0.041015625, ""1110"": 0.082275390625, ""1111"": 0.0745849609375}, ""5"": {""0000"": 0.08642578125, ""0001"": 0.07763671875, ""0010"": 0.0543212890625, ""0011"": 0.04931640625, ""0100"": 0.0509033203125, ""0101"": 0.04638671875, ""0110"": 0.0748291015625, ""0111"": 0.07421875, ""1000"": 0.0758056640625, ""1001"": 0.0703125, ""1010"": 0.051025390625, ""1011"": 0.050537109375, ""1100"": 0.05224609375, ""1101"": 0.045654296875, ""1110"": 0.0743408203125, ""1111"": 0.0660400390625}}"
